File Names,Brief Description,Usable?
accurateEBR,Clear eyes visible,Yes
advanceEBR,Sun glare and left eye hidden,No
ageEBR,Clear right eye not as visible,Yes
agentEBR,Too much sun glare,Unusable
agileEBR,Seems clear,Yes
allowEBR,Clear eyes visible,Yes
ambienceEBR,Clear eyes visible (for the most part),Yes
ambitionEBR,Left eye hidden,No
angelEBR,Clear eyes visible (for the most part),Yes
angerEBR,Sun glare and left eye hidden,No
apologyEBR,Clear eyes visible,Yes
appleEBR,Sun glare and right eye hidden,Not really
applicationEBR,Sun glare & left eye hidden,No
appliedEBR,Sun glare but usable in some frames,Yes
aprilEBR,Sun glare but usable in some frames,Maybe
armEBR,Clear right eye not as visible,Yes
arrangeEBR,Left eye hidden,No
askEBR,Clear but lots of movement,Maybe
assemblyEBR,Too dark,No
associationEBR,Clear bit of sun glare,Yes
avatarEBR,Clear bit of sun glare,Yes
avenueEBR,Left eye hidden,No
aviationEBR,Clear left eye little hard to see,Yes
awfulEBR,Clear left eye little hard to see,Yes
backgroundEBR,Pupils hidden,No
balletEBR,"Clear, little dark",Maybe
ballotEBR,Last half is usable,Maybe
baseEBR,Too dark,No
basisEBR,Unusable,No
battleEBR,Left eye hidden,No
beEBR,Clear left eye little hard to see,Yes
bellEBR,Clear eyes visible,Yes
bendEBR,Clear in most frames,Yes
billEBR,Too hard to see,No
bishopEBR,Mostly clear eyes visible,Yes
bitterEBR,Clear eyes visible,Yes
blessEBR,Clear eyes visible little glare,Yes
blueEBR,Clear eyes visible,Yes
boardEBR,First 30 seconds are clear,Yes
brickEBR,Video is too dark,No
broadcastEBR,Clear eyes visible,Yes
brownEBR,Clear eyes visible some glare,Yes
bucketEBR,Too dark,No
builtEBR,Clear eyes visible little dark,Yes
bulbEBR,Clear eyes visible little hard to see,Yes
bullwinkleEBR,Clear eyes visible,Yes
byEBR,Clear eyes visible,Yes
cabernetEBR,Unusable,No
cabinEBR,Too dark,No
calmEBR,Left eye hidden,No
capEBR,Clear left eye harder to see,Yes
carbonEBR,Clear left eye harder to see,Yes
careerEBR,Clear eyes visible little glare,Yes
cartEBR,Clear eyes visible glare,Yes
castleEBR,Clear left eye harder to see,Yes
catalogueEBR,Left eye hidden,No
categoryEBR,Clear eyes visible,Yes
caveEBR,Left eye hidden with glare,No
ceilingEBR,Clear eyes visible glare,Yes
cerealeEBR,Clear eyes visible,Yes
chanceEBR,Unusable,No
channelEBR,Too much glare,No
chargeEBR,Clear eyes visible,Yes
childEBR,Clear eyes visible right eye hard to see,Yes
chinEBR,Clear eyes visible,Yes
cityEBR,Clear eyes visible,Yes
climbEBR,Clear eyes visible so much glare,Not really
closeEBR,Left eye hidden and glare,No
coachEBR,Clear eyes visible,Yes
collectEBR,Clear eyes visible glare,Yes
colorEBR,Left eye hidden,No
colorfulEBR,Clear eyes visible,Yes
commitmentEBR,Clear eyes visible,Yes
committeeEBR,Too dark and too much glare,No
competitionEBR,Clear eyes visible for the most part (some glare),Yes
composerEBR,Clear harder-to-see left eye,Yes
concentrationEBR,Unusable,No
conceptionEBR,Clear and eyes visible apart from some glare,Yes
contentEBR,Clear harder-to-see left eye,Yes
contributionEBR,Clear and eyes visible apart from some glare,Yes
copeEBR,Left eye is hidden,No
countryEBR,"Left eye hidden, glare",No
craftEBR,Too dark and movement,No
crewEBR,Clear eyes visible,Yes
crimeEBR,Too much glare,No
crisisEBR,Clear eyes visible,Yes
criticEBR,Few parts could be used,Maybe
crowdEBR,Clear eyes visible,Yes
curlEBR,Left eye hidden,No
dairyEBR,Clear eyes visible,Yes
dayEBR,Clear eyes visible,Yes
deadEBR,"Left eye hidden, movement",No
declineEBR,Right eye hidden and too dark,No
decorativeEBR,Clear eyes visible little dark,Yes
decreaseEBR,Clear eyes visible,Yes
defendentEBR,Clear left eye harder to see,Maybe
defineEBR,Clear left eye harder to see,Yes
densityEBR,Clear left eye harder to see,Yes
dependEBR,Clear eyes visible,Yes
depositEBR,Clear eyes visible,Yes
desertEBR,Clear eyes visible,Yes
deskEBR,Clear left eye harder to see,Maybe
differentEBR,Right eye hidden,No
directoryEBR,Clear eyes visible,Yes
disabilityEBR,Clear eyes visible,Yes
discoveryEBR,Left eye hidden,No
dishEBR,Clear eyes visible glare,Yes
dismissEBR,Clear eyes visible,Yes
doEBR,Clear eyes visible,Yes
dollarEBR,Clear eyes visible,Yes
doseEBR,Unusable,No
doubtEBR,Clear eyes visible,Yes
draftEBR,Clear eyes visible but dark,Maybe
drawEBR,Clear left eye harder to see,Yes
dropEBR,Clear eyes visible,Yes
drumEBR,Clear eyes visible little glare,Yes
economistEBR,Left eye hidden,No
edgeEBR,Clear eyes visible,Yes
effectEBR,Clear eyes visible,Yes
electronEBR,Clear eyes visible,Yes
elementEBR,Maybe half could be used,Maybe
elephantEBR,Clear eyes visible some movement,Yes
eliteEBR,Clear eyes visible,Yes
emotionEBR,Clear left eye harder to see,Maybe
enjoyEBR,Unusable,No
enterEBR,Clear left eye is tough to see sometimes,Yes
episodeEBR,Clear eyes visible,Yes
equalEBR,Right eye hidden,No
evenEBR,Clear eyes visible,Yes
excavationEBR,Left eye hidden,No
exerciseEBR,First half has potential,Maybe
exoticEBR,Clear eyes visible,Yes
explainEBR,Left eye hidden,No
explosionEBR,First minute is clear eyes visible,Maybe
extensionEBR,Clear eyes visible,Yes
fantasyEBR,Too dark,No
fatEBR,Clear left eye harder to see,Yes
faultEBR,Last minute could be used,Maybe
februaryEBR,Clear eyes visible,Yes
feelEBR,Left eye hidden,No
fibreEBR,Clear eyes visible,Yes
fightEBR,Clear eyes visible,Yes
filmEBR,Clear eyes visible some glare,Yes
financeEBR,First minute is clear eyes visible,Maybe
fineEBR,Clear left eye is hard to see though,Yes
fireplaceIEBR,Clear eyes visible,Yes
fitnessEBR,Clear eyes visible,Yes
flagEBR,Clear left pupil tough to see,Yes
flashEBR,Clear eyes visible,Yes
flexibleEBR,Clear eyes visible,Yes
flowEBR,Clear eyes visible,Yes
flushEBR,"Clear eyes visible, too dark though",Maybe
folkEBR,Clear eyes visible,Yes
footballEBR,Clear eyes visible,Yes
footEBR,"Left eye hidden, too dark",No
forestEBR,Left eye is completely hidden,No
forgeEBR,Left eye is completely hidden,No
fragrantEBR,Clear eyes visible,Yes
frankEBR,Clear eyes visible,Yes
freedomEBR,Clear eyes visible some glare,Yes
frontEBR,Clear eyes visible,Yes
fruitEBR,Clear eyes visible blurry,Yes
galaxyEBR,Clear for most part left eye view is obstructed,Yes
ghostEBR,Clear for most part left eye view is obstructed,Yes
glareEBR,Left pupil is hidden,No
globalEBR,Clear with glare,Yes
graphicEBR,Clear but gets dark,Yes
grazeEBR,Left pupil is hidden,No
greatEBR,Too dark,No
growEBR,Clear eyes visible,Yes
guideEBR,Too dark,No
habitEBR,Clear eyes visible,Yes
happenEBR,Clear eyes visible,Yes
hayEBR,Too dark,No
