Name (.mp4),Brief Description,Usable?
accurateEBR,Clear eyes visible,Yes
advanceEBR,Sun glare & left eye not seen,Not really
ageEBR,Clear right eye not as visible,Yes
agentEBR,Heavy sun glare throughout video some parts could work,Maybe
agileEBR,Sun glare now and then,Yes
allowEBR,Clear eyes visible,Yes
ambienceEBR,Clear eyes visible (for the most part),Yes
ambitionEBR,Sun glare & left eye not seen,Not really
angelEBR,Clear eyes visible (for the most part),Yes
angerEBR,Sun glare and basically can’t see left eye,No
apologyEBR,Clear eyes visible,Yes
appleEBR,Sun glare and can’t see right eye clearly,Not really
applicationEBR,Sun glare & left eye not seen,No
appliedEBR,Sun glare but usable in some frames,Yes
aprilEBR,Sun glare but usable in some frames,Yes
armEBR,Clear right eye not as visible,Yes
arrangeEBR,Left eye isn’t even in the frame only right eye is clear,No
askEBR,Clear but lots of movement,Maybe
assemblyEBR,Dark makes it hard to see left eye,No
associationEBR,Clear bit of sun glare,Yes
avatarEBR,Clear bit of sun glare,Yes
avenueEBR,Left eye isnt in frame,No
aviationEBR,Clear left eye little hard to see,Yes
awfulEBR,Clear left eye little hard to see,Yes
backgroundEBR,Can see the eye movements not pupils,Maybe
balletEBR,Video gets dark but still clear could work,Yes
ballotEBR,Clear movement later in the video,Yes
baseEBR,Clear eyes visible little hard to see,No
basisEBR,Blurry,No
battleEBR,Left eye hard to see some glare maybe some frames?,Not really
beEBR,Clear left eye little hard to see,Yes
bellEBR,Clear eyes visible,Yes
bendEBR,Most parts are clear once camera is repositioned,Yes
billEBR,Dark but eyes are visible,Maybe
bishopEBR,Mostly clear eyes visible,Yes
bitterEBR,Clear eyes visible,Yes
blessEBR,Clear eyes visible little glare,Yes
blueEBR,Clear eyes visible,Yes
boardEBR,First 30 seconds are usable cant see pupils after,Yes
brickEBR,Video is too dark,Not really
broadcastEBR,Clear eyes visible,Yes
brownEBR,Clear eyes visible some glare,Yes
bucketEBR,Clear eyes visible pretty dark though,Not sure
builtEBR,Clear eyes visible little dark,Yes
bulbEBR,Clear eyes visible little hard to see,Maybe
bullwinkleEBR,Clear eyes visible,Yes
byEBR,Clear eyes visible,Yes
cabernetEBR,Clear eyes mostly visible,Yes
cabinEBR,Clear eyes visible pretty dark though,Not sure
calmEBR,Clear hard to see left eye could be used,Yes
capEBR,Clear left eye harder to see,Yes
carbonEBR,Clear left eye harder to see,Yes
careerEBR,Clear eyes visible little glare,Yes
cartEBR,Clear eyes visible glare,Yes
castleEBR,Clear left eye harder to see,Yes
catalogueEBR,Clear left eye harder to see,Maybe
categoryEBR,Clear eyes visible,Yes
caveEBR,Clear left eye harder to see glare,Maybe
ceilingEBR,Clear eyes visible glare,Yes
cerealeEBR,Clear eyes visible,Yes
chanceEBR,Bad camera position glare,No
channelEBR,Clear eyes visible lot of glare though,Maybe?
chargeEBR,Clear eyes visible,Yes
childEBR,Clear eyes visible right eye hard to see,Yes
chinEBR,Clear eyes visible,Yes
cityEBR,Clear eyes visible,Yes
climbEBR,Clear eyes visible so much glare,Not really
closeEBR,Clear hard to see left eye glare,Maybe
coachEBR,Clear eyes visible,Yes
collectEBR,Clear eyes visible glare,Yes
colorEBR,I can barely see the left eye,No
colorfulEBR,Clear eyes visible,Yes
commitmentEBR,Clear eyes visible,Yes
committeeEBR,Either dark or there's heavy glare visible eyes,Maybe
competitionEBR,Clear eyes visible for the most part (some glare),Yes
composerEBR,Clear harder-to-see left eye,Yes
concentrationEBR,Glare and blurry,No
conceptionEBR,Clear and eyes visible apart from some glare,Yes
contentEBR,Clear harder-to-see left eye,Yes
contributionEBR,Clear and eyes visible apart from some glare,Yes
copeEBR,Left eye isn't visible,No
countryEBR,Glare for the entire video left eye hard to see,Not really
craftEBR,Lots of movement and dark,No
crewEBR,Clear eyes visible,Yes
crimeEBR,Too much glare,No
crisisEBR,Clear eyes visible,Yes
criticEBR,Certain parts could be used,Yes
crowdEBR,Clear eyes visible,Yes
curlEBR,Left eye isn't visible,No
dairyEBR,Clear eyes visible,Yes
dayEBR,Clear eyes visible,Yes
deadEBR,Glare and heavy movement and left eye hard to see,No
declineEBR,Clear right eye harder to see little dark at times,Maybe
decorativeEBR,Clear eyes visible little dark,Yes
decreaseEBR,Clear eyes visible,Yes
defendentEBR,Clear left eye harder to see,Maybe
defineEBR,Clear left eye harder to see,Yes
densityEBR,Clear left eye harder to see,Yes
dependEBR,Clear eyes visible,Yes
depositEBR,Clear eyes visible,Yes
desertEBR,Clear eyes visible,Yes
deskEBR,Clear left eye harder to see,Yes
differentEBR,Right eye not seen,No
directoryEBR,Clear eyes visible,Yes
disabilityEBR,Clear eyes visible,Yes
discoveryEBR,Left eye is dark hard to see movement,No
dishEBR,Clear eyes visible glare,Yes
dismissEBR,Clear eyes visible,Yes
doEBR,Clear eyes visible,Yes
dollarEBR,Clear eyes visible,Yes
doseEBR,So blurry,No
doubtEBR,Clear eyes visible,Yes
draftEBR,Clear eyes visible but dark,Maybe
drawEBR,Clear left eye harder to see,Yes
dropEBR,Clear eyes visible,Yes
drumEBR,Clear eyes visible little glare,Yes
economistEBR,Left eye area is darkened hard to see,Not really
edgeEBR,Clear eyes visible,Yes
effectEBR,Clear eyes visible,Yes
electronEBR,Clear eyes visible,Yes
elementEBR,Inconsistent some frames may be used,Yes
elephantEBR,Clear eyes visible some movement,Yes
eliteEBR,Clear eyes visible,Yes
emotionEBR,Clear left eye harder to see,Yes
enjoyEBR,Unusable,No
enterEBR,Clear left eye is tough to see sometimes,Yes
episodeEBR,Clear eyes visible,Yes
equalEBR,Clear right eye is unseeable,No
evenEBR,Clear eyes visible,Yes
excavationEBR,Can’t see the left eye hardly,No
exerciseEBR,Maybe the beginning could be used?,Maybe
exoticEBR,Clear eyes visible,Yes
explainEBR,Can’t see the left eye hardly,No
explosionEBR,First minute is clear eyes visible,Yes
extensionEBR,Clear eyes visible,Yes
fantasyEBR,Dark and glare,No
fatEBR,Clear left eye harder to see,Yes
faultEBR,Last minute could be used,Yes
februaryEBR,Clear eyes visible,Yes
feelEBR,Can’t really see the left pupil at all,Maybe?
fibreEBR,Clear eyes visible,Yes
fightEBR,Clear eyes visible,Yes
filmEBR,Clear eyes visible some glare,Yes
financeEBR,First minute is clear eyes visible,Yes
fineEBR,Clear left eye is hard to see though,Yes
fireplaceIEBR,Clear eyes visible,Yes
fitnessEBR,Clear eyes visible,Yes
flagEBR,Clear left pupil tough to see,Yes
flashEBR,Clear eyes visible,Yes
flexibleEBR,Clear eyes visible,Yes
flowEBR,Clear eyes visible,Yes
flushEBR,Clear eyes visible gets pretty dark though,Maybe
folkEBR,Clear eyes visible,Yes
footballEBR,Clear eyes visible,Yes
footEBR,Blurriness and it’s dark; can’t see left eye,Not really
forestEBR,Left eye is completely hidden,No
forgeEBR,Left eye is completely hidden,No
fragrantEBR,Clear eyes visible,Yes
frankEBR,Clear eyes visible,Yes
freedomEBR,Clear eyes visible some glare,Yes
frontEBR,Clear eyes visible,Yes
fruitEBR,Clear eyes visible blurry,Yes
galaxyEBR,Clear for most part left eye view is obstructed,Yes
ghostEBR,Clear for most part left eye view is obstructed,Yes
glareEBR,Left pupil is hidden,No
globalEBR,Clear with glare,Yes
graphicEBR,Clear but gets dark,Yes
grazeEBR,Left pupil is hidden,No
greatEBR,Too dark,No
growEBR,Clear eyes visible,Yes
guideEBR,Too dark,No
habitEBR,Clear eyes visible,Yes
happenEBR,Clear eyes visible,Yes
hayEBR,Too dark,No
healthyEBR,So pixelated and left eye hidden,No
